COD. UF,UF,CODMUN7,NOME DO MUNICÍPIO,POP20,POP21,POP22
15,PA,1502756,Concórdia do Pará,33781,34236,26869
15,PA,1502764,Cumaru do Norte,13761,14044,12397
15,PA,1502772,Curionópolis,17846,17764,19929
15,PA,1502806,Curralinho,34994,35530,38060
15,PA,1502855,Curuá,14587,14776,14126
15,PA,1502905,Curuçá,40584,41093,44493
15,PA,1502939,Dom Eliseu,60469,61206,58444
15,PA,1502954,Eldorado do Carajás,33940,34069,30264
15,PA,1503002,Faro,7070,6949,8728
15,PA,1503044,Floresta do Araguaia,20525,20742,17896
15,PA,1503077,Garrafão do Norte,26111,26155,24716
15,PA,1503093,Goianésia do Pará,41081,41678,23806
15,PA,1503101,Gurupá,33755,34127,31945
15,PA,1503200,Igarapé-Açu,39023,39234,35788
15,PA,1503309,Igarapé-Miri,63036,63367,66369
15,PA,1503408,Inhangapi,11861,12009,10334
15,PA,1503457,Ipixuna do Pará,65625,67170,29116
15,PA,1503507,Irituia,32595,32639,30627
15,PA,1503606,Itaituba,101395,101541,137170
15,PA,1503705,Itupiranga,53355,53439,53873
15,PA,1503754,Jacareacanga,7590,6952,24742
15,PA,1503804,Jacundá,59842,60517,36184
15,PA,1503903,Juruti,58960,59961,57837
15,PA,1504000,Limoeiro do Ajuru,29282,29623,29617
15,PA,1504059,Mãe do Rio,30235,30389,34566
15,PA,1504109,Magalhães Barata,8573,8598,8090
15,PA,1504208,Marabá,283542,287664,271321
15,PA,1504307,Maracanã,29516,29559,25929
15,PA,1504406,Marapanim,28450,28563,30867
15,PA,1504422,Marituba,133685,135812,123890
15,PA,1504455,Medicilândia,31975,32347,26438
15,PA,1504505,Melgaço,27890,28121,26770
15,PA,1504604,Mocajuba,31530,31917,27265
15,PA,1504703,Moju,83182,84251,81364
15,PA,1504752,Mojuí dos Campos,16184,16282,22845
15,PA,1504802,Monte Alegre,58162,58289,59890
15,PA,1504901,Muaná,40906,41454,60117
15,PA,1504950,Nova Esperança do Piriá,21444,21519,21132
15,PA,1504976,Nova Ipixuna,16854,17027,13318
15,PA,1505007,Nova Timboteua,15506,15646,12737
15,PA,1505031,Novo Progresso,25766,25769,33636
15,PA,1505064,Novo Repartimento,77214,78488,60438
15,PA,1505106,Óbidos,52306,52473,58121
15,PA,1505205,Oeiras do Pará,32850,33182,33886
15,PA,1505304,Oriximiná,74016,74921,76140
15,PA,1505403,Ourém,17961,18079,17836
15,PA,1505437,Ourilândia do Norte,33335,33831,26570
15,PA,1505486,Pacajá,48414,49110,43527
15,PA,1505494,Palestina do Pará,7582,7575,6872
15,PA,1505502,Paragominas,114503,115838,104883
15,PA,1505536,Parauapebas,213576,218787,271577
15,PA,1505551,Pau D'Arco,5410,5339,6772
15,PA,1505601,Peixe-Boi,8081,8084,8315
15,PA,1505635,Piçarra,12979,12976,12794
15,PA,1505650,Placas,31659,32325,18602
15,PA,1505700,Ponta de Pedras,31549,32007,24913
15,PA,1505809,Portel,62945,63831,67288
15,PA,1505908,Porto de Moz,41801,42456,40709
15,PA,1506005,Prainha,29846,29827,35655
15,PA,1506104,Primavera,10857,10889,10700
15,PA,1506112,Quatipuru,13702,13794,11534
15,PA,1506138,Redenção,85563,86326,91227
15,PA,1506161,Rio Maria,18201,18208,17965
15,PA,1506187,Rondon do Pará,52803,53242,35182
15,PA,1506195,Rurópolis,51500,52473,41975
15,PA,1506203,Salinópolis,40922,41164,44451
15,PA,1506302,Salvaterra,24075,24392,24701
15,PA,1506351,Santa Bárbara do Pará,21449,21811,21089
15,PA,1506401,Santa Cruz do Arari,10314,10496,6820
15,PA,1506500,Santa Izabel do Pará,71837,72856,68963
15,PA,1506559,Santa Luzia do Pará,19843,19839,20341
15,PA,1506583,Santa Maria das Barreiras,21850,22244,17639
15,PA,1506609,Santa Maria do Pará,24995,25127,24583
15,PA,1506708,Santana do Araguaia,74419,75995,44526
15,PA,1506807,Santarém,306480,308339,351220
15,PA,1506906,Santarém Novo,6753,6796,6116
15,PA,1507003,Santo Antônio do Tauá,31918,32346,28282
15,PA,1507102,São Caetano de Odivelas,18129,18207,15226
15,PA,1507151,São Domingos do Araguaia,25753,25945,20970
15,PA,1507201,São Domingos do Capim,32139,32285,30144
15,PA,1507300,São Félix do Xingu,132138,135732,81161
15,PA,1507409,São Francisco do Pará,15930,15978,14912
15,PA,1507458,São Geraldo do Araguaia,24705,24566,24243
15,PA,1507466,São João da Ponta,6217,6294,4264
15,PA,1507474,São João de Pirabas,23244,23440,20593
15,PA,1507508,São João do Araguaia,14051,14105,13446
15,PA,1507607,São Miguel do Guamá,59632,60268,52810
15,PA,1507706,São Sebastião da Boa Vista,26974,27302,31336
15,PA,1507755,Sapucaia,6009,6088,5295
15,PA,1507805,Senador José Porfírio,11480,11305,22651
15,PA,1507904,Soure,25565,25752,24183
15,PA,1507953,Tailândia,108969,111554,84206
15,PA,1507961,Terra Alta,11847,11971,10404
15,PA,1507979,Terra Santa,18917,19063,18804
15,PA,1508001,Tomé-Açu,64030,64604,76055
15,PA,1508035,Tracuateua,31257,31549,28015
15,PA,1508050,Trairão,19168,19344,18924
15,PA,1508084,Tucumã,40136,40661,34812
15,PA,1508100,Tucuruí,115144,116605,90232
15,PA,1508126,Ulianópolis,60761,62286,56562
15,PA,1508159,Uruará,45435,45395,48511
15,PA,1508209,Vigia,54172,54650,49096
15,PA,1508308,Viseu,61751,62093,58095
15,PA,1508357,Vitória do Xingu,15279,15421,15104
15,PA,1508407,Xinguara,45086,45416,56127
16,AP,1600055,Serra do Navio,5488,5577,4744
16,AP,1600105,Amapá,9187,9265,7944
16,AP,1600154,Pedra Branca do Amapari,17067,17625,12365
16,AP,1600204,Calçoene,11306,11493,10613
16,AP,1600212,Cutias,6101,6217,4388
16,AP,1600238,Ferreira Gomes,7967,8151,6689
16,AP,1600253,Itaubal,5617,5730,5477
16,AP,1600279,Laranjal do Jari,51362,52302,35038
16,AP,1600303,Macapá,512902,522357,478448
16,AP,1600402,Mazagão,22053,22468,22105
16,AP,1600501,Oiapoque,27906,28534,27778
16,AP,1600535,Porto Grande,22452,22927,17923
16,AP,1600550,Pracuúba,5246,5370,3803
